abject	abjectly
able	ably
abnormal	abnormally
abominable	abominably
abortive	abortively
abrupt	abruptly
absent	absently
absent-minded	absent-mindedly
absolute	absolutely
abstemious	abstemiously
abstracted	abstractedly
abstruse	abstrusely
absurd	absurdly
abundant	abundantly
abusive	abusively
abysmal	abysmally
academic	academically
acceptable	acceptably
accepted	acceptably
accidental	accidentally
accurate	accurately
acrimonious	acrimoniously
active	actively
actual	actually
acute	acutely
adamant	adamantly
adamantine	adamantly
additional	additionally
adequate	adequately
administrative	administratively
admirable	admirably
admiring	admiringly
adorable	adorably
adoring	adoringly
adroit	adroitly
adult	adultly
advance	in-advance
advantageous	advantageously
adverbial	adverbially
adverse	adversely
advised	advisedly
aerial	aerially
aesthetic	aesthetically
aesthetical	aesthetically
affable	affably
affecting	affectingly
affectionate	affectionately
aft	aft
aggressive	aggressively
agile	agilely
agonizing	agonizingly
agreeable	agreeably
aimless	aimlessly
airy	airily
alarming	alarmingly
alert	alertly
algebraical	algebraically
alleged	allegedly
alliterative	alliteratively
allowable	allowably
alphabetical	alphabetically
alternate	alternately
alternative	alternatively
altruistic	altruistically
amazing	amazingly
ambiguous	ambiguously
ambitious	ambitiously
amiable	amiably
amicable	amicably
amorous	amorously
ample	amply
amusing	amusingly
analogous	analogously
analytic	analytically
analytical	analytically
anatomical	anatomically
ancient	anciently
angry	angrily
annual	annually
anomalous	anomalously
anonymous	anonymously
antagonistic	antagonistically
anti-social	anti-socially
antithetical	antithetically
anxious	anxiously
apathetic	apathetically
appalling	appallingly
apparent	apparently
appealing	appealingly
apposite	appositely
appreciable	appreciably
appreciative	appreciatively
apprehensive	apprehensively
appropriate	appropriately
approximate	approximately
apt	aptly
arbitrary	arbitrarily
arch	archly
archaic	archly
architectural	architecturally
ardent	ardently
arduous	arduously
arguable	arguably
aristocratic	aristocratically
arithmetical	arithmetically
arrogant	arrogantly
artful	artfully
articulate	articulately
artificial	artificially
artistic	artistically
artless	artlessly
ashamed	ashamedly
assertive	assertively
assiduous	assiduously
assured	assuredly
astonishing	astonishingly
astronomical	astronomically
astute	astutely
asymmetrical	asymmetrically
atonal	atonally
atrocious	atrociously
attentive	attentively
attractive	attractively
attributive	attributively
atypical	atypically
audacious	audaciously
audible	audibly
august	augustly
aural	aurally
auspicious	auspiciously
austere	austerely
authentic	authentically
authoritarian	authoritatively
authoritative	authoritatively
authorized	authoritatively
autocratic	autocratically
automated	automatically
automatic	automatically
avaricious	avariciously
avid	avidly
awful	awfully
awkward	awkwardly
axiomatic	axiomatically
back	back
bacterial	bacterially
bad	badly
bald	baldly
baleful	balefully
bally	bally
balmy	bally
baneful	banefully
bantering	banteringly
barbarous	barbarously
bare	barely
barefaced	barefacedly
bashful	bashfully
basic	basically
bawdy	bawdily
beastly	beastly
beautiful	beautifully
becoming	becomingly
befitting	befittingly
belated	belatedly
believable	believably
belligerent	belligerently
beneficial	beneficially
benevolent	benevolently
benign	benignly
benignant	benignantly
beseeching	beseechingly
bestial	bestially
better	better
bewitching	bewitchingly
biannual	biannually
