abomination	abominably
abuse	abusively
accuracy	accurately
addition	additionally
adequacy	adequately
advantage	advantageously
aggressiveness	aggressively
agility	agilely
alternative	alternatively
amateur	amateurishly
ambiguity	ambiguously
anomaly	anomalously
anonymity	anonymously
apathy	apathetically
appropriateness	appropriately
authenticity	authentically
bitterness	bitter
brutality	brutally
capriciousness	capriciously
catastrophe	catastrophically
cautiousness	cautiously
chaos	chaotically
cleanliness	clean
coherence	coherently
coincidence	coincidentally
comfort	comfortably
comparability	comparably
compassion	compassionately
compatibility	compatibly
competence	competently
competency	competently
competitiveness	competitively
complacency	complacently
completeness	completely
comprehensiveness	comprehensively
concision	concisely
confidentiality	confidentially
consciousness	consciously
consequence	consequently
consequence	consequently
contract	contractually
contrary	contrarily
contrast	contrastingly
controversy	controversially
convenience	conveniently
courage	courageously
creativity	creatively
criminality	criminally
danger	dangerously
demonstrativeness	demonstratively
diligence	diligently
drama	dramatically
dullness	dully
dynamism	dynamically
effectiveness	effectively
efficiency	efficiently
eloquence	eloquently
enigma	enigmatically
evidence	evidently
excellence	excellently
excess	excessively
exclusion	exclusively
expense	expensively
fairness	fairly
fatality	fatally
feasibility	feasible
flatness	flat
flexibility	flexibly
formality	formally
frequency	frequently
frugality	frugally
futility	futilely
generalization	generically
habit	habitually
hazard	hazardously
honor	honorably
hospitality	hospitably
hostility	hostilely
humaneness	humanely
humanity	humanely
humor	humorously
ideology	ideologically
idiocy	idiotically
illegality	illegally
illogic	illogically
immaturity	immaturely
immorality	immorally
impassiveness	impassively
improbability	improbably
incompatibility	incompatibly
inconsistency	inconsistently
ineffectiveness	ineffectively
inefficiency	inefficiently
inevitability	inevitably
ingenuity	ingenuously
insensitivity	insensitively
internationalization	internationally
inventiveness	inventively
irony	ironically
justification	justifiably
legality	legally
legitimacy	legitimately
length	long
licentiousness	licentiously
likelihood	likely
luxury	luxurious
magic	magically
malice	maliciously
miracle	miraculously
mystery	mysteriously
nostalgia	nostalgically
objectivity	objectively
obscenity	obscenely
obscurity	obscurely
open	openly
paradox	paradoxically
particular	particularly
passion	passionately
passivity	passively
peril	perilously
permanence	permanently
persistence	persistently
perversity	perversely
pleasure	pleasurably
possibility	possibly
potential	potentially
power	powerful
pragmatism	pragmatically
precision	precisely
predictability	predictably
probability	probably
profitability	profitably
public	publicly
receptivity	receptively
reciprocity	reciprocally
regimentation	regimentally
respectability	respectably
rigor	rigorously
romance	romantically
safety	safely
scandal	scandalously
secrecy	secretively
sensationalism	sensationally
sensuality	sensually
sentimentality	sentimentally
seriousness	seriously
severity	severely
silence	silently
strangeness	strangely
subtlety	subtly
surprise	surprisingly
tumult	tumultuously
turbulence	turbulently
valor	valorously
viability	viably
vigor	vigorously
violence	violently
vitality	vitally
vulnerability	vulnerably
whimsy	whimsically
wisdom	wisely
